672227/1000000  186363/250000  11509/20000  164201/200000
33433/250000  -990059/1000000  -56697/500000  996447/1000000
-123687/200000  -782513/1000000  9017/125000  199971/200000
-56501/1000000  31281/31250  493907/500000  32869/200000
-770431/1000000  640419/1000000  101703/1000000  -198729/200000
64069/1000000  -996353/1000000  -270523/1000000  -29999/31250
498329/500000  45267/500000  -15273/1000000  1000413/1000000
124189/125000  -128777/1000000  -41249/100000  -454031/500000
-124621/125000  -5911/200000  -199671/200000  -861/125000
182907/500000  58333/62500  -938873/1000000  -8463/25000
56537/100000  -824737/1000000  994869/1000000  124191/1000000
3447/500000  -998181/1000000  -900087/1000000  433671/1000000
124243/125000  122697/1000000  -153879/1000000  -61591/62500
-498897/500000  21103/500000  386177/1000000  92479/100000
79839/100000  -30049/50000  975373/1000000  -230077/1000000
4457/500000  -199253/200000  288837/1000000  -191257/200000
-377217/500000  328467/500000  -2313/500000  62663/62500
998079/1000000  4971/50000  -228067/500000  445097/500000
-495743/500000  -114517/1000000  -49037/50000  -183877/1000000
238107/250000  -2513/8000  118001/125000  336927/1000000
115021/125000  -98699/250000  313977/500000  783169/1000000
226679/500000  893979/1000000  -981839/1000000  183411/1000000
-15517/25000  391621/500000  -182997/1000000  -980213/1000000
753999/1000000  83113/125000  499933/500000  -661/50000
-249111/250000  70289/1000000  149303/500000  -954047/1000000
-87209/200000  -897093/1000000  -219189/250000  -235677/500000
155231/500000  -474671/500000  -658511/1000000  376577/500000
806273/1000000  598037/1000000  -993207/1000000  1823/20000
930811/1000000  -4601/12500  992541/1000000  -68617/500000
188041/250000  -328723/500000  114573/500000  97537/100000
879713/1000000  481217/1000000  342491/1000000  941973/1000000
162799/200000  -290037/500000  84121/1000000  -993501/1000000
944799/1000000  41911/125000  992417/1000000  71271/500000
-130243/200000  -755039/1000000  -17743/100000  984713/1000000
-542647/1000000  -836523/1000000  169699/200000  -106523/200000
-688073/1000000  -360653/500000  26587/1000000  -997207/1000000
-513327/1000000  86063/100000  118817/250000  110599/125000
-419439/1000000  181879/200000  -160627/200000  593/1000
-636573/1000000  -95829/125000  14007/15625  449171/1000000
-414527/500000  13943/25000  4679/10000  443541/500000
977191/1000000  56057/250000  -373557/500000  332327/500000
-448053/500000  55441/125000  743189/1000000  84129/125000
31693/200000  -61643/62500  501081/500000  15387/1000000
64239/100000  -383479/500000  -542571/1000000  420599/500000
357683/1000000  -233241/250000  -20453/40000  -426783/500000
-243739/250000  55881/250000  -865269/1000000  -124019/250000
125413/125000  -8607/500000  52327/500000  997231/1000000
-436041/500000  490221/1000000  538577/1000000  -842949/1000000
968021/1000000  -31981/125000  -122603/200000  -786727/1000000
-321999/1000000  -236117/250000  -4991/5000  52037/1000000
953/8000  -198221/200000  635761/1000000  -772599/1000000
690607/1000000  -362033/500000  425537/500000  -528483/1000000
731903/1000000  -680379/1000000  912421/1000000  -259/625
-26051/40000  -188903/250000  -429029/500000  -507011/1000000
219801/250000  -240323/500000  11717/25000  -44109/50000
7179/10000  351209/500000  -201833/500000  -9109/10000
470593/500000  343017/1000000  463629/500000  380937/1000000
1539/1600  -135919/500000  -238193/250000  146981/500000
-71167/100000  -699401/1000000  -292761/1000000  -119273/125000
-929833/1000000  362707/1000000  -205999/250000  -566153/1000000
725873/1000000  -689311/1000000  -933077/1000000  -87887/250000
498239/500000  -5221/50000  50049/50000  -17133/500000
311671/500000  785671/1000000  40261/50000  298233/500000
-153373/1000000  -493853/500000  245389/250000  5091/25000
933479/1000000  -11363/31250  -478857/500000  289593/1000000
387027/500000  319153/500000  -990013/1000000  116499/1000000
-934077/1000000  -173303/500000  41283/125000  -943529/1000000
-90957/500000  245741/250000  -143051/250000  -102249/125000
999929/1000000  2143/1000000  1001023/1000000  -32229/500000
-124177/125000  9247/100000  -62093/62500  -91087/1000000
-498653/500000  2581/62500  429429/500000  51653/100000
97281/200000  439001/500000  -2568/3125  2837/5000
-39759/40000  -84727/1000000  500189/500000  -68931/1000000
-994627/1000000  -73009/1000000  200317/200000  -2121/250000
825477/1000000  113997/200000  12349/12500  -161341/1000000
-153801/500000  -189861/200000  54191/500000  -124101/125000
-880969/1000000  118087/250000  97883/100000  -207181/1000000
-603453/1000000  79841/100000  83099/125000  -373947/500000
-189261/200000  -63419/200000  -138651/200000  3609/5000
124903/125000  -66061/1000000  -996757/1000000  -3253/250000
9237/125000  -62061/62500  -180437/200000  429109/1000000
812239/1000000  585681/1000000  -160969/250000  -380251/500000
35967/1000000  1001249/1000000  -22661/1000000  -499023/500000
403681/1000000  -911703/1000000  -294331/500000  -20119/25000
-513849/1000000  171617/200000  -140183/200000  14249/20000
764673/1000000  -160631/250000  932809/1000000  45571/125000
167173/200000  -548369/1000000  -82737/250000  943417/1000000
-331731/1000000  943343/1000000  100177/100000  182/15625
-400407/1000000  458607/500000  -99389/100000  -83527/1000000
-26643/500000  999983/1000000  196199/500000  461547/500000
1000597/1000000  54873/1000000  -415457/500000  -138183/250000
-92241/125000  -336079/500000  489167/500000  -217723/1000000
842723/1000000  543587/1000000  11641/12500  -371209/1000000
192633/1000000  98467/100000  141019/250000  -825451/1000000
131583/200000  756571/1000000  -527459/1000000  851193/1000000
653791/1000000  -755267/1000000  85839/125000  365829/500000
-307663/1000000  -949459/1000000  -422419/1000000  453793/500000
267659/1000000  48301/50000  409081/1000000  -912571/1000000
481599/500000  -10829/40000  -838677/1000000  109103/200000
503/125000  -996763/1000000  146777/250000  405339/500000
-31029/31250  -118837/1000000  -582853/1000000  812849/1000000
614879/1000000  198679/250000  -654729/1000000  47207/62500
38141/500000  -497529/500000  344683/1000000  941891/1000000
-996993/1000000  27579/500000  -33703/1000000  -997257/1000000
-385437/1000000  -230101/250000  -8469/200000  -199607/200000
75537/500000  -985959/1000000  -991961/1000000  20439/200000
61923/62500  78301/500000  -245683/250000  -171563/1000000
-186547/200000  178213/500000  53481/500000  994417/1000000
49781/500000  997917/1000000  370287/500000  338547/500000
-875301/1000000  -475217/1000000  -295197/1000000  956401/1000000
611971/1000000  -197359/250000  -187547/200000  -170099/500000
76721/200000  231811/250000  148729/200000  -66841/100000
238397/250000  154251/500000  -80623/125000  381741/500000
-841787/1000000  108463/200000  47151/125000  -925593/1000000
-1823/15625  995799/1000000  39423/62500  97651/125000
-182597/200000  -401493/1000000  -12387/62500  490727/500000
161979/1000000  247429/250000  -104531/125000  545799/1000000
556981/1000000  208421/250000  24933/200000  3109/3125
-488461/500000  212489/1000000  -488079/500000  212097/1000000
-18541/25000  -41479/62500  54211/62500  50403/100000
-42027/50000  -536623/1000000  3543/12500  96113/100000
426887/500000  262159/500000  640207/1000000  -30799/40000
556469/1000000  208113/250000  10921/100000  -990701/1000000
-275711/1000000  -191593/200000  -5279/8000  -745221/1000000
-141527/200000  708011/1000000  190667/200000  9607/31250
475363/500000  158069/500000  20009/20000  -62057/1000000
-160147/200000  -148949/250000  287823/500000  821297/1000000
-61573/250000  242837/250000  9533/100000  -49637/50000
-18967/62500  477099/500000  -77193/1000000  997541/1000000
-21843/25000  -478569/1000000  -947807/1000000  -981/3125
-887753/1000000  -227199/500000  69509/500000  496463/500000
890317/1000000  462647/1000000  -455363/1000000  111497/125000
-489761/500000  -190897/1000000  -2906/3125  -354939/1000000
-14973/250000  500681/500000  -46429/100000  885997/1000000
144067/1000000  -988357/1000000  -150587/200000  -653653/1000000
-986707/1000000  132609/1000000  -482333/500000  32251/125000
6657/25000  -963191/1000000  170267/1000000  24709/25000
-104599/125000  -542843/1000000  831607/1000000  14017/25000
-20583/50000  912047/1000000  99041/100000  165297/1000000
-53779/500000  -248197/250000  389021/1000000  924383/1000000
-135749/500000  96523/100000  -895199/1000000  -220663/500000
-193671/200000  48351/200000  -339707/500000  11463/15625
929097/1000000  47577/125000  694957/1000000  723317/1000000
-162661/500000  948191/1000000  -231039/250000  -374271/1000000
283041/500000  -329/400  -139763/250000  33177/40000
971967/1000000  60323/250000  15613/15625  -82431/1000000
-434357/500000  245833/500000  -984057/1000000  -38449/250000
210549/250000  272411/500000  420763/500000  -13527/25000
-46767/125000  -923693/1000000  -150157/500000  956579/1000000
767509/1000000  32233/50000  542303/1000000  843009/1000000
-120241/1000000  198803/200000  141359/500000  962227/1000000
593311/1000000  808729/1000000  747079/1000000  -664849/1000000
4757/40000  -123847/125000  -480659/1000000  -877507/1000000
-15414/15625  -28973/200000  250197/250000  -5129/100000
409389/500000  -576337/1000000  -989387/1000000  -123501/1000000
-783759/1000000  624131/1000000  -111523/500000  19509/20000
-224891/250000  432119/1000000  980823/1000000  201431/1000000
-73443/1000000  -248907/250000  -177459/500000  234107/250000
1001603/1000000  -10869/250000  199071/1000000  -980181/1000000
334053/500000  747229/1000000  33589/62500  847611/1000000
803943/1000000  -74661/125000  16423/200000  -995979/1000000
-195541/200000  98597/500000  293743/500000  814443/1000000
84741/125000  739911/1000000  -499157/500000  19357/500000
191321/200000  302193/1000000  -968671/1000000  237871/1000000
88117/250000  -233769/250000  289759/1000000  -955593/1000000
-105977/250000  452791/500000  -860197/1000000  507519/1000000
736543/1000000  679123/1000000  138233/500000  -958971/1000000
6983/8000  -244529/500000  995857/1000000  -60639/500000
8047/1000000  -499569/500000  136643/200000  -182611/250000
586169/1000000  -810479/1000000  -233159/1000000  -969309/1000000
-976069/1000000  27629/125000  -3183/125000  -499319/500000
22001/62500  -467467/500000  -988591/1000000  35257/250000
-28583/62500  111391/125000  -997751/1000000  1017/31250
479939/1000000  -109307/125000  -947087/1000000  -316857/1000000
62721/1000000  -996031/1000000  13/25  859337/1000000
113303/125000  -424897/1000000  899289/1000000  445863/1000000
-92037/100000  -385189/1000000  -447639/500000  110939/250000
212243/500000  -904659/1000000  -392449/500000  -38349/62500
448399/1000000  -892973/1000000  -887279/1000000  92231/200000
-114909/200000  818267/1000000  16543/200000  -496947/500000
497027/500000  63099/500000  -469059/500000  343239/1000000
-483879/500000  -239593/1000000  194819/200000  -58321/250000
935541/1000000  -354641/1000000  162783/250000  -759301/1000000
-29139/125000  -485781/500000  883259/1000000  -237451/500000
-543/500000  -249357/250000  -980039/1000000  95751/500000
210359/1000000  245313/250000  -96517/250000  -183771/200000
-493581/500000  71143/500000  696951/1000000  -718407/1000000
-68673/250000  -480203/500000  824401/1000000  -567511/1000000
1459/62500  -997329/1000000  -628863/1000000  -193489/250000
9391/125000  -998381/1000000  458767/500000  50369/125000
1001181/1000000  7161/200000  -460687/500000  -385009/1000000
236467/1000000  487263/500000  14997/20000  166819/250000
-340661/500000  -727777/1000000  47023/50000  34511/100000
265501/500000  -424417/500000  32627/40000  117141/200000
-490613/500000  22013/125000  220831/250000  -470581/1000000
-175377/500000  937493/1000000  -680513/1000000  731839/1000000
949599/1000000  -322501/1000000  88109/100000  -472291/1000000
176327/500000  469127/500000  925611/1000000  385253/1000000
-15369/20000  -9926/15625  -86719/250000  -233617/250000
-16691/40000  454631/500000  -487581/500000  -26211/125000
117401/125000  -345369/1000000  -39661/250000  988449/1000000
916327/1000000  -403399/1000000  57859/1000000  -997541/1000000
451627/500000  217093/500000  85041/1000000  -49621/50000
644499/1000000  191817/250000  -19353/25000  -631321/1000000
239999/1000000  194761/200000  180133/200000  87793/200000
3132/3125  563/100000  895517/1000000  227537/500000
31141/125000  -2419/2500  350083/500000  -713809/1000000
936213/1000000  179287/500000  -46147/50000  -381057/1000000
-65701/500000  992699/1000000  -249339/250000  34303/1000000
-990431/1000000  60851/500000  -79821/100000  -298117/500000
-25411/50000  172519/200000  -481983/1000000  1093/1250
-32879/250000  496151/500000  389657/500000  -627287/1000000
492007/500000  -184929/1000000  851653/1000000  -263757/500000
-876093/1000000  -29649/62500  243261/250000  -59199/250000
996959/1000000  7313/62500  -21737/500000  250363/250000
182873/200000  -101523/250000  -465173/1000000  88511/100000
3863/5000  -635813/1000000  -190103/250000  -643587/1000000
-4801/5000  -134821/500000  -702043/1000000  712189/1000000
-187979/250000  -65589/100000  -39357/40000  -165883/1000000
-8707/250000  -199117/200000  496901/1000000  -54191/62500
165337/200000  -28121/50000  -8683/125000  -497993/500000
189899/500000  -924281/1000000  -197763/200000  -9439/62500
600551/1000000  800959/1000000  205819/500000  -911717/1000000
-79559/200000  -915233/1000000  197803/250000  307857/500000
-931247/1000000  360989/1000000  219481/250000  485061/1000000
-344557/500000  181417/250000  650127/1000000  762327/1000000
91729/100000  -400399/1000000  967897/1000000  -8099/31250
770443/1000000  -637683/1000000  820247/1000000  -573107/1000000
-28151/500000  999319/1000000  -447427/1000000  -35643/40000
28399/125000  -972733/1000000  -3637/4000  16793/40000
-660247/1000000  94171/125000  -61411/62500  2584/15625
-9493/10000  -76839/250000  873941/1000000  61947/125000
-19871/200000  -247959/250000  -434787/500000  -97803/200000
464347/500000  -375307/1000000  -41589/500000  997833/1000000
-248817/250000  50699/1000000  -833213/1000000  -274587/500000
-930671/1000000  -35933/100000  -424609/500000  -104113/200000
-4517/15625  958059/1000000  9219/25000  -930009/1000000
-598797/1000000  100143/125000  494517/500000  16829/100000
263449/500000  213409/250000  372563/500000  -666097/1000000
-892631/1000000  -111527/250000  393869/1000000  461061/500000
-267689/500000  -421717/500000  107803/250000  -901983/1000000
13039/200000  250443/250000  -13301/500000  -997393/1000000
99339/100000  135387/1000000  -180473/200000  106729/250000
88699/200000  898939/1000000  -734527/1000000  5429/8000
-18737/1000000  62611/62500  -233917/500000  884791/1000000
399011/500000  -302177/500000  198/15625  15677/15625
-2392/3125  644189/1000000  246637/250000  179081/1000000
-592473/1000000  807771/1000000  -400003/1000000  -91417/100000
124611/250000  -865347/1000000  158417/1000000  991011/1000000
171289/500000  -937891/1000000  533653/1000000  -846281/1000000
-249353/250000  1707/50000  312451/500000  783267/1000000
-106969/250000  45217/50000  -958307/1000000  280827/1000000
-492651/500000  -32089/200000  623627/1000000  -783069/1000000
413481/1000000  912841/1000000  -531467/1000000  -844199/1000000
-197257/200000  -154429/1000000  345529/500000  181897/250000
70631/250000  -958203/1000000  134199/250000  -168157/200000
13588/15625  498269/1000000  5239/500000  100339/100000
378429/500000  -653221/1000000  1002081/1000000  103/10000
104761/1000000  499191/500000  824471/1000000  -56509/100000
41327/200000  980469/1000000  113683/125000  105837/250000
145277/1000000  1587/1600  238789/250000  -303011/1000000
-567539/1000000  -12812/15625  11723/250000  -62341/62500
196297/250000  -155267/250000  683731/1000000  -91123/125000
-1903/50000  -249489/250000  12697/50000  -48243/50000
453889/1000000  223643/250000  119173/125000  30879/100000
-953701/1000000  -297481/1000000  -465613/500000  -360443/1000000
-75671/1000000  997471/1000000  67383/250000  -960461/1000000
-926629/1000000  189351/500000  3803/6250  398533/500000
23431/62500  928831/1000000  65709/125000  213477/250000
-858139/1000000  103157/200000  954269/1000000  2509/8000
499503/500000  -72897/1000000  238161/1000000  -193967/200000
-54261/62500  -123647/250000  327967/1000000  118407/125000
250047/250000  72169/1000000  40111/40000  -7321/1000000
-555747/1000000  -830823/1000000  859677/1000000  -102633/200000
-18797/40000  -877287/1000000  -992847/1000000  -50069/500000
892837/1000000  230179/500000  -204237/500000  457/500
142043/500000  -239377/250000  -487267/1000000  -1089/1250
1000869/1000000  -22237/500000  363471/1000000  933447/1000000
-11731/62500  -978419/1000000  497217/500000  115773/1000000
34533/40000  127769/250000  -262261/500000  852147/1000000
48431/50000  257537/1000000  -162937/500000  945277/1000000
294889/1000000  11991/12500  11208/15625  700341/1000000
39061/250000  990857/1000000  -82017/500000  -984167/1000000
999849/1000000  -2839/40000  -184899/200000  376143/1000000
35829/40000  223887/500000  496143/500000  -13979/100000
-341401/500000  365943/500000  19643/1000000  -7993/8000
37453/62500  -798229/1000000  -561011/1000000  166191/200000
-320789/500000  -762133/1000000  215609/1000000  979949/1000000
1000831/1000000  2849/50000  489387/500000  102581/500000
666609/1000000  750863/1000000  -11159/200000  499859/500000
-1734/15625  199361/200000  -727629/1000000  -340429/500000
-552897/1000000  20801/25000  228063/250000  -205221/500000
308807/500000  -785951/1000000  -12781/25000  862339/1000000
231499/500000  889361/1000000  -677027/1000000  -18291/25000
-161951/250000  76307/100000  644081/1000000  -382673/500000
817/2500  947509/1000000  -68743/100000  725749/1000000
-888867/1000000  112509/250000  -12087/100000  -494683/500000
974703/1000000  -227401/1000000  -174353/200000  -485831/1000000
485011/500000  25073/100000  115589/125000  -95323/250000
-51627/125000  -908691/1000000  653223/1000000  763203/1000000
-461033/1000000  -177193/200000  424813/1000000  -56541/62500
-67271/125000  845617/1000000  -258817/500000  -426991/500000
-844573/1000000  -265711/500000  87561/200000  225847/250000
-994337/1000000  91229/1000000  -183783/250000  339141/500000
38853/62500  -195761/250000  -99351/100000  -9697/100000
-55627/250000  977069/1000000  250413/250000  -8471/500000
-248557/250000  -15821/200000  3011/31250  998727/1000000
103427/500000  -978369/1000000  242371/250000  -5069/20000
307053/1000000  -475087/500000  -197957/250000  152589/250000
228249/250000  -414219/1000000  3064/3125  -2029/10000
-984377/1000000  -83009/500000  -184607/250000  -334773/500000
-97649/100000  25927/125000  -214877/500000  451573/500000
686307/1000000  365159/500000  884243/1000000  471581/1000000
-994573/1000000  16777/200000  -290939/1000000  958197/1000000
125567/250000  868021/1000000  -102231/125000  288109/500000
-47859/1000000  200091/200000  1357/1600  -266011/500000
377607/500000  -328373/500000  -997259/1000000  30673/500000
-950027/1000000  -306421/1000000  23729/40000  101317/125000
-603623/1000000  -794417/1000000  -991659/1000000  -21609/200000
918683/1000000  6286/15625  -92521/100000  374583/1000000
8817/12500  712523/1000000  -882457/1000000  -46457/100000
-968823/1000000  -116103/500000  169601/250000  -366919/500000
110281/500000  977509/1000000  -46711/1000000  998983/1000000
-224461/250000  -10769/25000  134477/200000  371983/500000
130777/500000  -241439/250000  283613/1000000  -956901/1000000
-903041/1000000  -104963/250000  -225077/500000  -889793/1000000
-885587/1000000  -461627/1000000  451919/500000  435489/1000000
-747877/1000000  -660429/1000000  -5186/15625  -235001/250000
107229/250000  -901187/1000000  31387/62500  217027/250000
969437/1000000  -252309/1000000  768181/1000000  -80187/125000
793401/1000000  30611/50000  512101/1000000  215719/250000
355079/1000000  46899/50000  -74181/250000  -237993/250000
101713/250000  57241/62500  124761/250000  -864461/1000000
-963147/1000000  -265627/1000000  966543/1000000  -261909/1000000
100071/100000  33147/500000  725341/1000000  -34443/50000
963919/1000000  -134929/500000  186471/200000  73051/200000
-15076/15625  -127641/500000  -721571/1000000  -344527/500000
165079/200000  -283589/500000  950541/1000000  -314761/1000000
475513/500000  -77069/250000  -497141/500000  -65013/1000000
911833/1000000  -408549/1000000  -194969/200000  -42197/200000
-782531/1000000  620349/1000000  280181/500000  415651/500000
-21247/200000  996291/1000000  124111/125000  -132729/1000000
-440997/500000  -465189/1000000  -228637/250000  202817/500000
-52703/62500  -535599/1000000  498119/500000  106997/1000000
-656531/1000000  47189/62500  135031/1000000  -988481/1000000
-763129/1000000  40491/62500  -26469/40000  -74553/100000
249467/250000  7353/100000  368591/1000000  -464607/500000
465189/500000  375577/1000000  892199/1000000  -450639/1000000
460743/1000000  178041/200000  -48627/50000  -225521/1000000
37401/500000  998107/1000000  504457/1000000  434027/500000
-11983/15625  319569/500000  815057/1000000  116363/200000
-968393/1000000  61413/250000  -192627/200000  -128639/500000
-449199/500000  437143/1000000  3453/10000  470839/500000
116711/250000  888219/1000000  -88911/125000  352703/500000
-37281/125000  119349/125000  -26203/1000000  -997107/1000000
442539/500000  94297/200000  -665943/1000000  -370397/500000
101461/500000  -977753/1000000  -317/40000  500309/500000
20829/500000  -995963/1000000  374199/1000000  464619/500000
-974707/1000000  106907/500000  998283/1000000  -84117/1000000
-170747/1000000  -39321/40000  -461671/1000000  177997/200000
498591/500000  -24961/250000  935563/1000000  -180377/500000
-184601/250000  -66819/100000  288947/1000000  960273/1000000
-13817/25000  166613/200000  37289/1000000  1002301/1000000
18337/1000000  -498211/500000  -83251/250000  118213/125000
910639/1000000  -418909/1000000  -95079/100000  302431/1000000
28139/50000  -206123/250000  36849/200000  -981971/1000000
940107/1000000  -345043/1000000  -996999/1000000  5177/1000000
657833/1000000  15123/20000  221099/1000000  -194599/200000
195237/250000  -78/125  17061/20000  -260137/500000
871421/1000000  -245587/500000  5841/1000000  501367/500000
714159/1000000  7037/10000  5787/500000  501279/500000
24449/500000  31299/31250  511403/1000000  -428157/500000
-114753/200000  410067/500000  -518491/1000000  854203/1000000
-34281/62500  420199/500000  521767/1000000  855353/1000000
62499/125000  -34583/40000  74071/200000  186457/200000
1001359/1000000  441/10000  -845053/1000000  26839/50000
706839/1000000  -705883/1000000  -14139/20000  88401/125000
405661/500000  586887/1000000  -71917/100000  -27537/40000
10238/15625  -754401/1000000  -619887/1000000  -31397/40000
315981/500000  389483/500000  -5517/25000  488137/500000
260687/1000000  -481239/500000  848119/1000000  -10613/20000
-711811/1000000  702589/1000000  -975427/1000000  -209979/1000000
-491281/500000  -21401/125000  -248809/1000000  -965717/1000000
500851/500000  56963/1000000  -6399/250000  200827/200000
-384173/500000  638619/1000000  241137/500000  879083/1000000
-302549/500000  -158257/200000  121529/200000  -397841/500000
-398081/500000  151053/250000  23921/250000  -497253/500000
434923/1000000  450803/500000  24639/50000  436843/500000
-289047/1000000  -477381/500000  -198159/200000  -11731/100000
498291/500000  1831/20000  -2263/12500  -490873/500000
85977/100000  511103/1000000  477649/1000000  220421/250000
-204949/500000  456513/500000  29967/250000  -19841/20000
-992373/1000000  46593/500000  883553/1000000  -470941/1000000
49407/50000  40977/250000  -256029/500000  -858577/1000000
-619/200000  -249651/250000  296671/1000000  239411/250000
336953/500000  -184569/250000  -319103/1000000  237133/250000
567499/1000000  -820723/1000000  -994871/1000000  -75307/1000000
-852201/1000000  -10327/20000  491451/1000000  -869263/1000000
-96133/1000000  997843/1000000  468861/1000000  -440987/500000
13003/500000  -99879/100000  171433/500000  -935307/1000000
981561/1000000  -19231/100000  8573/40000  -487039/500000
-727621/1000000  34219/50000  -174711/250000  71531/100000
99219/100000  7419/50000  899231/1000000  -218691/500000
-68511/125000  -833439/1000000  -7291/8000  410269/1000000
-861703/1000000  126021/250000  189673/500000  928559/1000000
433219/1000000  -450207/500000  28467/1000000  31263/31250
-195743/200000  -192329/1000000  -155961/500000  -118363/125000
369709/500000  678247/1000000  -164951/200000  -56493/100000
-601753/1000000  -796437/1000000  -481303/500000  271833/1000000
19367/25000  -632803/1000000  -824797/1000000  -280507/500000
990599/1000000  -35741/250000  -414279/1000000  -453771/500000
900257/1000000  440571/1000000  -22823/25000  -400049/1000000
-246557/250000  -6129/40000  27829/500000  999539/1000000
-339641/500000  368049/500000  -5369/1000000  15668/15625
79443/1000000  -995331/1000000  -460653/1000000  890269/1000000
37967/40000  80579/250000  419257/1000000  113691/125000
-42363/100000  -112811/125000  -215841/250000  502271/1000000
1002783/1000000  22567/1000000  -487163/500000  226413/1000000
33607/50000  92637/125000  424379/500000  529777/1000000
-56037/125000  -177991/200000  60433/1000000  -498051/500000
-975157/1000000  -10607/50000  422529/500000  269869/500000
-163637/200000  287191/500000  54501/250000  -974447/1000000
-997683/1000000  -13939/1000000  -14988/15625  -68547/250000
311803/1000000  -949821/1000000  -238253/250000  148703/500000
-187601/200000  172401/500000  1001703/1000000  20607/500000
486599/500000  120783/500000  -103979/125000  553297/1000000
-119631/1000000  -99251/100000  37657/100000  -231331/250000
-943283/1000000  -63919/200000  -156591/250000  77889/100000
2499/25000  995899/1000000  572693/1000000  -409819/500000
91119/500000  492789/500000  -460889/500000  77881/200000
-146321/1000000  -988299/1000000  245789/1000000  121523/125000
-39261/40000  184721/1000000  -665289/1000000  37361/50000
-491383/500000  -175703/1000000  -4453/1000000  501993/500000
-813809/1000000  -287911/500000  805389/1000000  601191/1000000
169933/500000  -940377/1000000  -363291/1000000  932023/1000000
-151639/200000  -648133/1000000  -692539/1000000  359577/500000
21087/40000  13302/15625  450693/500000  439537/1000000
-774091/1000000  39503/62500  -324917/500000  -150643/200000
661383/1000000  752907/1000000  5429/20000  -240357/250000
27767/62500  449689/500000  -4419/40000  99569/100000
244219/250000  -110251/500000  -196617/200000  20647/125000
985941/1000000  -172233/1000000  66557/250000  241721/250000
-698977/1000000  -355823/500000  -263633/500000  424903/500000
438477/1000000  -896791/1000000  -996787/1000000  -27547/1000000
606083/1000000  -396337/500000  -493101/500000  -155247/1000000
-214839/1000000  978569/1000000  -974907/1000000  -214827/1000000
121823/250000  -34923/40000  222181/500000  89933/100000
825457/1000000  567619/1000000  -996457/1000000  -54467/1000000
163469/500000  -940983/1000000  -2069/10000  -976437/1000000
984899/1000000  181481/1000000  49523/50000  -145817/1000000
-244669/250000  198557/1000000  -59371/200000  -190541/200000
-191299/1000000  -489311/500000  -933743/1000000  22133/62500
-213287/1000000  488547/500000  -27509/50000  417927/500000
-27059/1000000  -997759/1000000  -982169/1000000  21421/125000
200137/200000  36663/1000000  28627/250000  -991829/1000000
981489/1000000  97173/500000  476851/500000  305447/1000000
15081/40000  -231689/250000  -969791/1000000  116339/500000
281973/500000  83121/100000  871233/1000000  122847/250000
71491/1000000  19981/20000  398997/500000  -605093/1000000
59897/125000  -878103/1000000  199573/250000  606707/1000000
220597/1000000  977083/1000000  866223/1000000  254241/500000
-997123/1000000  -13703/1000000  87481/1000000  -99499/100000
-119293/500000  971757/1000000  411477/1000000  7321/8000
-93393/100000  72437/200000  -237783/250000  150973/500000
-923081/1000000  1511/4000  -99423/100000  -14151/200000
-117991/250000  881823/1000000  14643/15625  359607/1000000
-244469/1000000  -193349/200000  -34131/250000  -989059/1000000
-124069/125000  93163/1000000  269151/1000000  482763/500000
-347351/1000000  939569/1000000  -677599/1000000  -183091/250000
-306547/1000000  -950269/1000000  -370941/500000  -13297/20000
-169237/250000  369043/500000  -756107/1000000  131171/200000
-270391/1000000  -479663/500000  -479171/1000000  -876469/1000000
183727/200000  402403/1000000  23481/200000  -990681/1000000
927219/1000000  382597/1000000  653561/1000000  379809/500000
-216769/1000000  -974733/1000000  -100463/250000  91627/100000
239623/250000  297237/1000000  986041/1000000  -174279/1000000
170301/200000  -263197/500000  120603/125000  -1081/4000
-261691/1000000  -60103/62500  -9607/10000  -54949/200000
997501/1000000  -78921/1000000  -170023/250000  91727/125000
197361/200000  -177273/1000000  860153/1000000  -25383/50000
-24687/500000  -996917/1000000  250251/250000  641/31250
499861/500000  3963/50000  486553/1000000  877951/1000000
171067/200000  65461/125000  279147/500000  -414823/500000
-579699/1000000  101793/125000  78251/250000  -474363/500000
662059/1000000  -748831/1000000  -307791/1000000  476879/500000
-970789/1000000  -224067/1000000  -497413/500000  80501/1000000
-363609/1000000  -463831/500000  -114381/125000  1259/3125
746679/1000000  -664789/1000000  -101913/200000  -428359/500000
326951/500000  380541/500000  250467/250000  27497/1000000
958571/1000000  290267/1000000  -43677/250000  986239/1000000
475597/1000000  -87939/100000  -102949/125000  28159/50000
430211/500000  -20433/40000  637939/1000000  154809/200000
994963/1000000  -12817/100000  -118031/500000  973193/1000000
-128761/1000000  -247111/250000  94191/100000  -169189/500000
141547/250000  -411511/500000  -20983/500000  999981/1000000
-194379/1000000  490371/500000  -414057/1000000  113889/125000
72169/100000  693711/1000000  -91797/100000  -390861/1000000
40043/62500  769163/1000000  125051/125000  148/15625
99571/100000  1369/12500  849697/1000000  -66067/125000
-191411/250000  -39913/62500  933969/1000000  183441/500000
178643/1000000  -983151/1000000  119053/250000  882061/1000000
-953921/1000000  151581/500000  825917/1000000  -70633/125000
-382581/500000  640287/1000000  -89203/1000000  998799/1000000
199849/200000  -41177/500000  961587/1000000  -70957/250000
-43097/250000  -491319/500000  311309/500000  -156927/200000
976407/1000000  -215633/1000000  -985927/1000000  156689/1000000
-600577/1000000  160249/200000  935267/1000000  -357629/1000000
30279/1000000  -498643/500000  -25677/62500  913371/1000000
